edge_relation,description,src_type,dst_type,value_field,example
call,IsCalledBy,code_method,code_method,argument(s),(runSimulation(args) IsCalledBy PredictFluDiagnoses(args))
with,CoOccursWith,any,any,occurrence_location,(differentialequations CoOccursWith mechanisticmodels doc1:sentence1)
input,IsInputTo,argument,code_method,nothing,(num_people=1000 IsInputTo runSimulation(::Int))
input,IsInputTo,argument_tuple,code_method,nothing,"((num_people=1000, num_years=5) IsInputTo runSimulation(::Int, ::Int))"
output,Outputs,code_method,return_value,nothing,(final_size=500 IsOutputBy runSimulation(args))
output,Outputs,code_method,return_tuple,nothing,"((final_size=500, num_vaccines=200) IsOutputBy runSimulation(args))"
takes,TakesAsValue,variable,value,nothing,(x=3)
unit,IsMeasuredIn,aggregation,unit,nothing,(population IsMeasuredIn people)
unit,IsMeasuredIn,value,unit,nothing,(2.1 IsMeasuredIn people/day)
unit,IsMeasuredIn,concept,unit,nothing,(susceptibles IsMeasuredIn people)
comp,IsComponentOf,control_flow_block,code_method,type_parameters,(control_flow_block IsComponentOf runSimulation(args) (RepeatedEvaluation "while"))
comp,IsComponentOf,concept,concept,any,(integrate IsComponentOf Quadrature.jl)
impl,Implements,code_function,concept,nothing,(SIRModel Represents "disease model")
impl,Implements,code_method,code_function,nothing,(SIRModel(args) Represents "disease model")
impl,Implements,code_method,code_function,nothing,(SIRModel(args) Implements SIRModel)
inherit,IsSubTypeOf,type,type,type_parameters,(SIRModel <: AbstractCompartmentModel)
repr,Represents,type,concept,type_parameters,(SIRModel Represents "disease model")
has,Has,any,property,any,(codeblock_1 has forloop index=(i in 1:10))
verb,Verb,any,any,verb_token,(quadrature Verb integration solves)
